epoch,batch_size,combination_number,dense_layers,epochs,loss,lr,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
28,50,-1,"""[dense2_nodes, layers]""",60,0.016411446454003453,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19594500958919525
29,50,-1,"""[dense2_nodes, layers]""",60,0.014975027786567808,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1952757127583027
30,50,-1,"""[dense2_nodes, layers]""",60,0.01350031744223088,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1837373599410057
31,50,-1,"""[dense2_nodes, layers]""",60,0.011282474990002811,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18362835049629211
32,50,-1,"""[dense2_nodes, layers]""",60,0.013535832171328366,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.17653165385127068
33,50,-1,"""[dense2_nodes, layers]""",60,0.014392498810775579,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.16544415056705475
34,50,-1,"""[dense2_nodes, layers]""",60,0.014118394791148603,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18051254004240036
35,50,-1,"""[dense2_nodes, layers]""",60,0.01260134766343981,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1562032774090767
36,50,-1,"""[dense2_nodes, layers]""",60,0.01133455305825919,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18571696057915688
37,50,-1,"""[dense2_nodes, layers]""",60,0.013020874210633337,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.22038347646594048
38,50,-1,"""[dense2_nodes, layers]""",60,0.011435318551957608,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1819283850491047
39,50,-1,"""[dense2_nodes, layers]""",60,0.012268437980674207,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1993153616786003
40,50,-1,"""[dense2_nodes, layers]""",60,0.01393576986156404,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18313271552324295
41,50,-1,"""[dense2_nodes, layers]""",60,0.012757363822311163,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.21770620346069336
42,50,-1,"""[dense2_nodes, layers]""",60,0.012136785802431405,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19753332436084747
43,50,-1,"""[dense2_nodes, layers]""",60,0.012056963937357067,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.21396110951900482
44,50,-1,"""[dense2_nodes, layers]""",60,0.010685945046134293,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18936971575021744
45,50,-1,"""[dense2_nodes, layers]""",60,0.011461181624326855,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19852055609226227
46,50,-1,"""[dense2_nodes, layers]""",60,0.010994497034698725,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.2004360817372799
47,50,-1,"""[dense2_nodes, layers]""",60,0.010168231301940977,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19890087097883224
48,50,-1,"""[dense2_nodes, layers]""",60,0.012908026669174432,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.2005476877093315
49,50,-1,"""[dense2_nodes, layers]""",60,0.009765940450597555,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19128740951418877
50,50,-1,"""[dense2_nodes, layers]""",60,0.012941598403267562,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1823650300502777
51,50,-1,"""[dense2_nodes, layers]""",60,0.011692327493801714,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.19079070538282394
52,50,-1,"""[dense2_nodes, layers]""",60,0.008610516157932579,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18161612004041672
53,50,-1,"""[dense2_nodes, layers]""",60,0.010614130191970616,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.1753823682665825
54,50,-1,"""[dense2_nodes, layers]""",60,0.009575678664259613,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.20455842465162277
55,50,-1,"""[dense2_nodes, layers]""",60,0.010305895353667438,0.3782447755238777,0.4417928896886919,100,"""[layers, lstm2_dropouts, lstm2_nodes]""",sgd,50,0.18514825403690338
