,date,close
0,2014-02-13,357.2
1,2014-02-14,359.34
2,2014-02-18,355.73
3,2014-02-19,354.54
4,2014-02-20,350.46
5,2014-02-21,354.141
6,2014-02-24,353.0
7,2014-02-25,361.08
8,2014-02-26,364.75
9,2014-02-27,360.59
10,2014-02-28,365.865
11,2014-03-03,360.96
12,2014-03-04,365.68
13,2014-03-05,372.728
14,2014-03-06,375.33
15,2014-03-07,374.99
16,2014-03-10,372.73
17,2014-03-11,372.8
18,2014-03-12,371.16
19,2014-03-13,383.11
20,2014-03-14,378.568
21,2014-03-17,378.85
22,2014-03-18,379.0
23,2014-03-19,379.0
24,2014-03-20,373.0
25,2014-03-21,372.84
26,2014-03-24,361.5
27,2014-03-25,358.97
28,2014-03-26,357.6
29,2014-03-27,344.0
30,2014-03-28,347.0
31,2014-03-31,346.29
32,2014-04-01,344.43
33,2014-04-02,348.295
34,2014-04-03,342.5
35,2014-04-04,335.44
36,2014-04-07,324.94
37,2014-04-08,328.0
38,2014-04-09,332.18
39,2014-04-10,331.0
40,2014-04-11,316.5
41,2014-04-14,320.48
42,2014-04-15,318.28
43,2014-04-16,324.0
44,2014-04-17,328.66
45,2014-04-21,331.15
46,2014-04-22,337.5
47,2014-04-23,333.13
48,2014-04-24,337.4
49,2014-04-25,316.49
50,2014-04-28,304.39
51,2014-04-29,301.84
52,2014-04-30,304.56
53,2014-05-01,310.48
54,2014-05-02,313.29
55,2014-05-05,310.23
56,2014-05-06,309.81
57,2014-05-07,296.4
58,2014-05-08,295.878
59,2014-05-09,293.68
60,2014-05-12,303.34
61,2014-05-13,305.6
62,2014-05-14,304.64
63,2014-05-15,299.2
64,2014-05-16,298.88
65,2014-05-19,299.0
66,2014-05-20,304.46
67,2014-05-21,305.96
68,2014-05-22,308.54
69,2014-05-23,312.35
70,2014-05-27,314.63
71,2014-05-28,313.82
72,2014-05-29,314.87
73,2014-05-30,314.65
74,2014-06-02,312.6
75,2014-06-03,307.92
76,2014-06-04,309.5
77,2014-06-05,327.94
78,2014-06-06,330.88
79,2014-06-09,333.0
80,2014-06-10,335.5
81,2014-06-11,340.72
82,2014-06-12,335.55
83,2014-06-13,329.298
84,2014-06-16,328.694
85,2014-06-17,331.34
86,2014-06-18,335.75
87,2014-06-19,338.9
88,2014-06-20,328.22
89,2014-06-23,327.55
90,2014-06-24,329.73
91,2014-06-25,328.15
92,2014-06-26,328.65
93,2014-06-27,326.52
94,2014-06-30,326.98
95,2014-07-01,333.2
96,2014-07-02,336.76
97,2014-07-03,338.3
98,2014-07-07,337.55
99,2014-07-08,333.74
100,2014-07-09,330.2
101,2014-07-10,329.98
102,2014-07-11,347.0
103,2014-07-14,355.77
104,2014-07-15,355.59
105,2014-07-16,359.32
106,2014-07-17,356.96
107,2014-07-18,359.68
108,2014-07-21,361.71
109,2014-07-22,362.93
110,2014-07-23,360.63
111,2014-07-24,364.85
112,2014-07-25,324.87
113,2014-07-28,324.82
114,2014-07-29,322.9
115,2014-07-30,322.73
116,2014-07-31,320.684
117,2014-08-01,315.83
118,2014-08-04,316.18
119,2014-08-05,314.55
120,2014-08-06,315.78
121,2014-08-07,315.877
122,2014-08-08,317.32
123,2014-08-11,320.38
124,2014-08-12,321.31
125,2014-08-13,331.72
126,2014-08-14,334.09
127,2014-08-15,335.0
128,2014-08-18,337.8
129,2014-08-19,335.81
130,2014-08-20,337.16
131,2014-08-21,336.582
132,2014-08-22,334.08
133,2014-08-25,336.77
134,2014-08-26,344.36
135,2014-08-27,346.67
136,2014-08-28,341.79
137,2014-08-29,341.82
138,2014-09-02,342.5
139,2014-09-03,343.27
140,2014-09-04,349.38
141,2014-09-05,346.827
142,2014-09-08,345.81
143,2014-09-09,341.76
144,2014-09-10,334.98
145,2014-09-11,333.01
146,2014-09-12,332.89
147,2014-09-15,331.33
148,2014-09-16,329.48
149,2014-09-17,328.0
150,2014-09-18,327.1
151,2014-09-19,332.756
152,2014-09-22,329.49
153,2014-09-23,327.6
154,2014-09-24,329.44
155,2014-09-25,328.54
156,2014-09-26,323.5
157,2014-09-29,323.75
158,2014-09-30,323.43
159,2014-10-01,322.165
160,2014-10-02,318.53
161,2014-10-03,325.16
162,2014-10-06,324.13
163,2014-10-07,322.0
164,2014-10-08,324.11
165,2014-10-09,322.271
166,2014-10-10,317.77
167,2014-10-13,313.2
168,2014-10-14,312.24
169,2014-10-15,307.9
170,2014-10-16,306.82
171,2014-10-17,309.2
172,2014-10-20,306.53
173,2014-10-21,315.64
174,2014-10-22,318.98
175,2014-10-23,316.8
176,2014-10-24,293.81
177,2014-10-27,290.42
178,2014-10-28,298.0
179,2014-10-29,299.61
180,2014-10-30,299.74
181,2014-10-31,305.72
182,2014-11-03,308.01
183,2014-11-04,304.25
184,2014-11-05,304.0
185,2014-11-06,297.0
186,2014-11-07,299.99
187,2014-11-10,305.799
188,2014-11-11,312.38
189,2014-11-12,312.58
190,2014-11-13,317.89
191,2014-11-14,332.88
192,2014-11-17,328.0
193,2014-11-18,329.56
194,2014-11-19,328.4
195,2014-11-20,332.67
196,2014-11-21,338.33
197,2014-11-24,337.39
198,2014-11-25,336.332
199,2014-11-26,334.65
200,2014-11-28,341.26
201,2014-12-01,340.64
202,2014-12-02,327.93
203,2014-12-03,326.77
204,2014-12-04,318.59
205,2014-12-05,316.93
206,2014-12-08,316.56
207,2014-12-09,313.639
208,2014-12-10,313.19
209,2014-12-11,312.64
210,2014-12-12,310.64
211,2014-12-15,310.86
212,2014-12-16,304.49
213,2014-12-17,299.67
214,2014-12-18,304.5
215,2014-12-19,301.54
216,2014-12-22,307.36
217,2014-12-23,307.49
218,2014-12-24,307.0
219,2014-12-26,310.78
220,2014-12-29,314.27
221,2014-12-30,313.94
